respondent_id,age_group,gender,country,city,education_level,years_experience,domain_role,tech_primary,tech_secondary,salary_inr,employment_type,company_size,remote_work,job_satisfaction,work_life_balance,tools_used,languages_known,certification_count,projects_count,overtime_frequency,tenure_years,promotion_last_year,hours_per_week,industry,managers_count,team_size,performance_score,survey_year,comments
120,45-54,Male,India,Mumbai,Masters,9,Data Scientist,SQL,Tableau,1319857,Intern,201-1000,Hybrid,1,3,"R, None, AWS",SQL,1,9,Often,7.8,No,38,Consulting,3,20,1,2022,Looking to switch
121,45-54,Other,India,Kolkata,Masters,6,Data Scientist,Python,TensorFlow,882508,Full-time,201-1000,On-site,5,4,"Azure, TensorFlow",SQL,1,6,Never,2.6,No,31,Healthcare,5,7,3,2023,Looking to switch
122,18-24,Other,India,Bengaluru,Bachelors,6,Software Engineer,Excel,Azure,853586,Intern,51-200,Hybrid,5,5,"Tableau, Excel, R",R,0,12,Never,1.7,Yes,57,Finance,5,8,2,2023,Looking to switch
123,18-24,Female,India,Hyderabad,Bachelors,0,Software Engineer,R,Tableau,500000,Freelance,5000+,Hybrid,3,4,"Tableau, AWS, R, Power BI","R, C++, Java, Scala",0,0,Always,10.0,No,47,Consulting,4,20,3,2023,Good place
124,35-44,Female,India,Delhi,Masters,1,BI Analyst,Excel,AWS,512999,Freelance,51-200,Remote,5,2,TensorFlow,"Scala, R, SQL, C++",0,15,Sometimes,2.7,No,42,Retail,5,2,5,2022,Learning a lot
125,45-54,Other,India,Chennai,Masters,10,Data Scientist,SQL,None,1265850,Part-time,201-1000,Remote,4,2,"Azure, Excel, Tableau",SQL,2,7,Sometimes,4.3,No,41,Healthcare,4,10,4,2021,Looking to switch
126,18-24,Female,India,Hyderabad,Diploma,10,Data Analyst,Power BI,TensorFlow,795530,Intern,1-50,Remote,2,2,"Spark, TensorFlow, AWS","R, SQL",6,2,Often,3.4,Yes,40,Consulting,0,1,4,2023,Stressful
127,25-34,Female,India,Kolkata,Diploma,9,Data Scientist,SQL,TensorFlow,1135807,Intern,1001-5000,Hybrid,4,4,Python,"Scala, R",0,10,Always,2.0,Yes,50,Consulting,1,8,3,2023,Stressful
128,35-44,Male,India,Bengaluru,Diploma,6,Data Analyst,Excel,AWS,699274,Freelance,1001-5000,On-site,2,3,"Tableau, Power BI, Excel, Spark",SQL,1,4,Rarely,7.4,Yes,33,Healthcare,5,21,1,2024,Learning a lot
129,18-24,Other,India,Bengaluru,Diploma,9,Software Engineer,Python,Tableau,1086827,Full-time,1001-5000,Hybrid,4,1,"AWS, Excel, Power BI",R,3,3,Always,2.8,Yes,43,IT,4,24,5,2021,Learning a lot
130,18-24,Female,India,Hyderabad,Bachelors,12,Data Analyst,Excel,TensorFlow,798592,Freelance,1001-5000,Hybrid,2,1,"Power BI, AWS, Tableau, None",Python,5,2,Never,8.4,No,34,IT,4,3,1,2023,Stressful
131,35-44,Female,India,Bengaluru,Diploma,4,BI Analyst,SQL,Tableau,606168,Freelance,201-1000,Hybrid,1,1,Python,"Scala, SQL",2,11,Often,9.6,No,58,Consulting,0,12,3,2022,Good place
132,45-54,Female,India,Kolkata,PhD,6,BI Analyst,Power BI,Azure,825132,Part-time,1-50,Remote,1,2,Spark,"C++, Java, SQL, R",3,11,Always,0.4,Yes,45,Retail,0,29,4,2024,Good place
133,35-44,Male,India,Delhi,Bachelors,4,Data Analyst,Excel,TensorFlow,617128,Full-time,1001-5000,On-site,2,4,"None, Spark, Excel",Python,5,5,Always,8.5,No,57,Finance,0,25,4,2023,Stressful
134,18-24,Other,India,Hyderabad,PhD,4,ML Engineer,Power BI,Spark,950664,Intern,1001-5000,On-site,4,1,"AWS, Tableau, SQL, None",Python,3,13,Never,5.6,Yes,56,IT,4,20,3,2022,Looking to switch
135,18-24,Male,India,Kolkata,PhD,5,ML Engineer,Excel,TensorFlow,1153080,Intern,201-1000,On-site,4,1,None,"Python, R",2,9,Always,5.3,Yes,31,Finance,3,5,4,2021,Learning a lot
136,25-34,Male,India,Kolkata,PhD,3,Software Engineer,SQL,Azure,597467,Freelance,1-50,Hybrid,1,5,AWS,"Scala, C++, SQL, Java",0,1,Always,9.4,No,59,Education,1,23,5,2022,Stressful
137,35-44,Other,India,Mumbai,PhD,6,Data Analyst,R,None,819772,Part-time,201-1000,Hybrid,3,3,"Excel, None, Spark, R","Scala, C++, SQL",1,6,Always,7.2,No,59,Consulting,1,23,2,2023,Good place
138,45-54,Other,India,Pune,PhD,8,ML Engineer,R,AWS,1231448,Full-time,5000+,Remote,1,4,"Python, None","R, SQL",2,8,Rarely,8.4,No,36,Education,0,12,4,2021,Satisfied
139,45-54,Male,India,Pune,Masters,3,Software Engineer,Python,Azure,636194,Intern,201-1000,On-site,1,1,"Power BI, TensorFlow, AWS","Scala, R",6,6,Rarely,3.0,Yes,51,IT,1,6,5,2021,Looking to switch
140,35-44,Other,India,Chennai,Bachelors,6,Data Analyst,SQL,TensorFlow,620272,Full-time,201-1000,Hybrid,2,1,"Tableau, TensorFlow",Scala,4,9,Often,7.9,No,32,Consulting,2,17,2,2022,Satisfied
141,25-34,Female,India,Pune,PhD,12,Data Analyst,Python,AWS,813952,Part-time,201-1000,Hybrid,3,3,"TensorFlow, Azure","C++, Python, Scala, R",2,14,Rarely,9.1,Yes,60,IT,5,29,3,2024,Good place
142,35-44,Male,India,Pune,Masters,4,BI Analyst,R,TensorFlow,646800,Intern,1-50,Hybrid,2,3,SQL,"C++, Scala",0,2,Rarely,6.7,Yes,57,Consulting,3,27,1,2022,Satisfied
143,18-24,Other,India,Delhi,Bachelors,10,BI Analyst,Python,Azure,1119800,Freelance,1-50,Remote,1,1,"R, Azure",C++,6,7,Sometimes,4.1,No,50,Retail,3,11,1,2024,Good place
144,18-24,Other,India,Pune,Diploma,0,Software Engineer,Python,AWS,500000,Full-time,201-1000,On-site,3,5,R,"Java, Scala, Python, SQL",1,7,Rarely,7.5,No,60,Consulting,1,10,3,2021,Satisfied
145,18-24,Male,India,Bengaluru,PhD,2,Software Engineer,R,TensorFlow,551156,Freelance,51-200,On-site,3,2,"None, Azure, Excel, TensorFlow","SQL, C++",6,8,Rarely,1.2,Yes,57,Education,3,21,5,2021,Learning a lot
146,18-24,Male,India,Delhi,PhD,4,Data Analyst,Excel,AWS,513608,Part-time,1-50,Hybrid,5,1,"Tableau, AWS","R, C++, Scala, Java",4,4,Always,5.7,No,60,Retail,1,1,3,2022,Stressful
147,35-44,Male,India,Delhi,Masters,4,BI Analyst,Power BI,Azure,646744,Freelance,201-1000,Hybrid,5,1,"None, TensorFlow",R,6,4,Always,2.0,Yes,53,IT,0,28,5,2021,Satisfied
148,25-34,Male,India,Pune,Masters,6,Software Engineer,R,TensorFlow,805634,Part-time,201-1000,Hybrid,2,5,"Excel, AWS, Azure",Java,2,0,Rarely,8.5,Yes,54,Education,1,15,2,2022,Satisfied
149,25-34,Other,India,Delhi,PhD,10,Software Engineer,Excel,Tableau,843400,Intern,51-200,Remote,3,3,"Python, Power BI","Java, Scala, C++",0,1,Sometimes,1.1,No,56,Consulting,2,19,5,2022,Looking to switch
150,18-24,Other,India,Chennai,PhD,5,BI Analyst,SQL,TensorFlow,682985,Freelance,201-1000,Hybrid,4,5,Azure,"Java, SQL",1,2,Always,6.5,Yes,34,Finance,1,12,5,2021,Stressful
151,35-44,Other,India,Bengaluru,PhD,12,BI Analyst,Power BI,Azure,855696,Part-time,1001-5000,Remote,2,1,"TensorFlow, None","SQL, C++",0,4,Never,1.7,Yes,46,Retail,4,19,1,2023,Good place
152,45-54,Female,India,Hyderabad,Bachelors,7,Data Scientist,Power BI,TensorFlow,905464,Part-time,5000+,On-site,5,3,"None, Tableau","C++, Scala, Python, Java",3,12,Rarely,1.2,Yes,46,Education,5,14,2,2021,Stressful
153,18-24,Other,India,Pune,Diploma,9,BI Analyst,Python,Azure,1018917,Part-time,5000+,On-site,1,4,"Tableau, Python, Azure, Spark","Java, Scala",2,3,Often,1.4,No,54,Finance,0,10,5,2024,Learning a lot
154,18-24,Other,India,Pune,Diploma,0,Data Scientist,R,Tableau,700000,Part-time,201-1000,Hybrid,3,1,"Spark, TensorFlow","R, C++, Java",4,11,Always,2.8,No,54,Finance,3,18,5,2024,Stressful
155,45-54,Female,India,Chennai,Masters,8,ML Engineer,Power BI,None,1082384,Full-time,51-200,Hybrid,2,1,"Azure, Spark","C++, Scala, Python",1,12,Never,8.1,Yes,45,Education,3,3,1,2023,Stressful
156,18-24,Other,India,Mumbai,PhD,1,ML Engineer,R,None,904144,Freelance,5000+,Remote,2,4,"Python, Power BI, Azure, R","Python, C++",4,7,Always,1.8,Yes,41,Finance,5,1,2,2021,Learning a lot
157,45-54,Female,India,Pune,Bachelors,5,BI Analyst,R,Tableau,791475,Full-time,1-50,On-site,3,5,"Tableau, R, Power BI","Java, Scala",4,0,Sometimes,1.8,Yes,47,IT,4,10,3,2021,Satisfied
158,35-44,Other,India,Mumbai,PhD,8,ML Engineer,R,Azure,1137544,Freelance,1001-5000,On-site,4,5,AWS,R,0,12,Rarely,6.8,Yes,55,Healthcare,3,12,5,2021,Learning a lot
159,18-24,Female,India,Delhi,Masters,4,Data Scientist,Python,TensorFlow,826788,Intern,201-1000,Hybrid,2,5,"Excel, Power BI, AWS","SQL, Scala",6,8,Rarely,2.4,Yes,56,Education,2,5,1,2021,Good place
160,18-24,Other,India,Bengaluru,PhD,9,BI Analyst,Excel,TensorFlow,816039,Intern,5000+,Hybrid,4,2,"Spark, Power BI, Excel",C++,6,13,Often,9.4,Yes,46,Healthcare,3,28,2,2024,Good place
161,35-44,Other,India,Bengaluru,Diploma,7,Software Engineer,SQL,Azure,906532,Full-time,201-1000,Hybrid,5,3,"Azure, R","R, Java",4,10,Sometimes,1.9,No,36,Retail,5,25,3,2023,Looking to switch
162,25-34,Other,India,Hyderabad,Bachelors,7,ML Engineer,Python,None,1113837,Part-time,5000+,Hybrid,4,2,"Excel, AWS",SQL,3,15,Rarely,10.0,No,55,Retail,2,9,5,2021,Looking to switch
163,25-34,Male,India,Hyderabad,Masters,11,Data Analyst,Power BI,None,689421,Intern,201-1000,Hybrid,3,3,"Tableau, Python, Spark",R,6,6,Always,5.8,Yes,54,Healthcare,2,11,5,2024,Looking to switch
164,35-44,Female,India,Delhi,Bachelors,6,Data Analyst,SQL,None,652666,Intern,5000+,On-site,4,1,Excel,"SQL, R, C++",5,9,Sometimes,6.1,No,38,Retail,2,24,5,2024,Looking to switch
165,18-24,Male,India,Delhi,Bachelors,2,Data Scientist,Excel,None,831840,Full-time,51-200,Remote,4,1,SQL,"C++, Python, Scala, SQL",4,2,Never,2.7,Yes,32,Consulting,3,10,2,2022,Learning a lot
166,25-34,Male,India,Pune,Bachelors,10,BI Analyst,Python,Tableau,1084860,Freelance,201-1000,Hybrid,4,5,"Azure, AWS, Excel","C++, Scala",3,13,Always,6.4,No,59,Healthcare,3,18,2,2021,Looking to switch
167,45-54,Female,India,Hyderabad,Masters,5,ML Engineer,Python,Tableau,1121480,Part-time,201-1000,Hybrid,4,5,AWS,"R, Python, Java, SQL",4,7,Never,5.5,Yes,43,Education,3,13,2,2022,Looking to switch
168,35-44,Male,India,Mumbai,Bachelors,3,BI Analyst,R,TensorFlow,646431,Freelance,201-1000,On-site,5,3,"Power BI, SQL, Excel, Azure","Python, Java, C++",2,15,Rarely,3.3,Yes,31,Education,0,6,1,2023,Learning a lot
169,45-54,Other,India,Bengaluru,Bachelors,11,Data Scientist,Python,Spark,930615,Intern,51-200,Hybrid,4,3,"Tableau, AWS, Python, None",SQL,0,8,Often,0.8,No,35,Finance,2,27,4,2021,Good place
170,45-54,Male,India,Delhi,Diploma,6,Data Scientist,SQL,Azure,1109140,Full-time,5000+,On-site,2,4,"None, R, Tableau, Excel",Scala,4,3,Sometimes,4.9,No,36,Healthcare,0,28,2,2021,Stressful
171,18-24,Male,India,Kolkata,Masters,5,BI Analyst,R,Tableau,679695,Part-time,1-50,Remote,5,4,"Tableau, SQL","SQL, Java",0,10,Never,0.7,Yes,52,Education,0,5,4,2022,Learning a lot
172,35-44,Female,India,Delhi,Bachelors,12,Software Engineer,Python,None,1037084,Freelance,51-200,Hybrid,1,4,"Azure, R, None, AWS","C++, SQL",4,11,Sometimes,7.4,No,57,Education,4,6,1,2022,Looking to switch
173,35-44,Female,India,Bengaluru,PhD,4,ML Engineer,SQL,Tableau,1092456,Freelance,5000+,Remote,3,1,"Power BI, Azure, AWS, Excel","R, Java, Scala",0,3,Always,6.6,Yes,56,Finance,1,28,1,2022,Good place
174,18-24,Male,India,Pune,PhD,3,BI Analyst,Power BI,TensorFlow,632676,Freelance,1-50,Hybrid,2,5,Python,"Scala, Java",6,2,Often,8.0,Yes,41,Education,5,29,4,2023,Good place
175,18-24,Other,India,Bengaluru,Masters,4,Software Engineer,Python,Spark,716176,Full-time,1-50,On-site,2,5,"Power BI, None, Azure, TensorFlow","C++, Scala",3,3,Always,3.6,No,52,Consulting,3,29,1,2022,Stressful
176,35-44,Other,India,Hyderabad,PhD,6,Software Engineer,Excel,AWS,836300,Freelance,201-1000,Hybrid,4,3,"TensorFlow, Azure","Java, C++",5,8,Sometimes,9.6,No,60,Retail,0,24,1,2023,Satisfied
177,25-34,Female,India,Bengaluru,Masters,8,Data Analyst,SQL,Spark,725096,Full-time,201-1000,On-site,5,5,"SQL, Python","R, SQL, C++, Java",2,7,Rarely,2.6,No,32,Education,3,19,2,2021,Learning a lot
178,45-54,Other,India,Delhi,Diploma,2,BI Analyst,R,None,529372,Full-time,5000+,Hybrid,1,1,"Tableau, Spark, TensorFlow",SQL,5,0,Often,0.6,Yes,40,Education,4,5,3,2022,Stressful
179,45-54,Female,India,Kolkata,Diploma,10,Data Analyst,SQL,Azure,789910,Intern,51-200,Remote,3,1,"TensorFlow, Python, Azure, Spark","Python, Java, C++",6,4,Rarely,4.9,Yes,45,Retail,5,19,2,2022,Stressful
180,45-54,Female,India,Delhi,Diploma,4,Data Analyst,Python,None,588416,Intern,201-1000,Hybrid,2,3,"TensorFlow, Python, R","R, C++",6,14,Always,1.5,Yes,59,Finance,1,22,3,2022,Good place
181,18-24,Male,India,Pune,Bachelors,11,Data Analyst,Excel,Tableau,867456,Full-time,201-1000,Hybrid,4,1,"Power BI, Azure, None","C++, Scala",6,8,Always,4.9,Yes,52,Consulting,5,1,4,2021,Learning a lot
182,35-44,Male,India,Kolkata,Masters,0,Data Scientist,Python,Azure,700000,Full-time,1-50,Hybrid,3,3,Python,"Scala, Java, SQL",3,3,Sometimes,4.9,Yes,35,Finance,4,15,5,2021,Good place
183,35-44,Female,India,Mumbai,PhD,8,Data Scientist,SQL,Tableau,1041808,Freelance,201-1000,On-site,3,2,"Python, R, Spark",C++,2,7,Rarely,3.5,No,51,Finance,0,24,4,2022,Looking to switch
184,25-34,Female,India,Chennai,Masters,9,Data Scientist,Power BI,TensorFlow,957715,Part-time,51-200,On-site,5,2,"R, Azure","Java, SQL",5,5,Sometimes,0.8,Yes,35,Healthcare,1,24,1,2023,Looking to switch
185,45-54,Other,India,Kolkata,Masters,4,BI Analyst,SQL,Spark,557988,Part-time,51-200,Remote,5,5,"TensorFlow, None, Power BI","SQL, Python",2,2,Often,1.4,No,52,Consulting,2,6,4,2024,Looking to switch
186,25-34,Male,India,Bengaluru,PhD,2,Data Scientist,Python,AWS,794138,Part-time,51-200,Remote,1,2,"TensorFlow, AWS, Tableau, None","Java, Scala",6,1,Always,7.4,No,53,Healthcare,3,20,5,2021,Satisfied
187,45-54,Male,India,Hyderabad,PhD,7,Data Analyst,Python,TensorFlow,717716,Full-time,51-200,Hybrid,4,4,"R, AWS, Excel","R, C++, Python, Scala",4,4,Often,8.3,No,32,Consulting,4,4,2,2022,Looking to switch
188,45-54,Male,India,Hyderabad,PhD,5,BI Analyst,R,None,616165,Intern,1-50,Hybrid,3,2,SQL,Scala,3,11,Never,5.3,No,53,Education,4,6,4,2024,Good place
189,25-34,Male,India,Kolkata,Bachelors,5,Data Scientist,SQL,None,816810,Intern,201-1000,Hybrid,4,3,"SQL, Excel","Python, C++",6,8,Never,4.6,No,47,IT,4,29,4,2022,Stressful
190,45-54,Female,India,Mumbai,PhD,10,Software Engineer,Python,TensorFlow,1093280,Full-time,51-200,On-site,3,5,"Python, Excel","Python, R",0,4,Never,6.7,No,40,IT,0,4,4,2022,Stressful
191,25-34,Female,India,Delhi,Masters,9,ML Engineer,Python,Tableau,1206526,Freelance,201-1000,Hybrid,1,4,R,"SQL, Python, R, Scala",4,13,Always,2.2,Yes,49,IT,0,19,5,2021,Looking to switch
192,35-44,Female,India,Pune,Masters,12,Software Engineer,Excel,TensorFlow,1192304,Freelance,51-200,On-site,5,4,"AWS, Excel, Power BI, R","Python, Scala",0,14,Never,7.4,Yes,55,Education,3,14,1,2023,Learning a lot
193,25-34,Male,India,Delhi,Bachelors,12,Software Engineer,Excel,AWS,793340,Freelance,201-1000,On-site,5,3,SQL,"R, Java, Python",6,5,Rarely,3.4,No,59,Consulting,3,30,4,2021,Stressful
194,45-54,Other,India,Chennai,PhD,2,BI Analyst,Power BI,None,497342,Freelance,5000+,On-site,3,5,Power BI,"R, Python, SQL",2,0,Sometimes,9.8,Yes,48,Education,3,6,5,2021,Learning a lot
195,18-24,Female,India,Mumbai,Diploma,11,ML Engineer,Power BI,Spark,1337872,Intern,201-1000,Remote,5,3,"SQL, Tableau",SQL,0,14,Always,0.3,No,58,Education,1,7,3,2024,Satisfied
196,35-44,Male,India,Kolkata,Diploma,12,ML Engineer,R,None,1194364,Part-time,1-50,Hybrid,4,5,Python,"Python, C++, Scala",2,14,Never,1.1,No,30,Education,2,21,2,2023,Stressful
197,35-44,Other,India,Chennai,PhD,4,Data Scientist,Python,AWS,819140,Part-time,201-1000,Remote,1,5,Power BI,"C++, R, Scala",1,9,Always,2.5,Yes,39,Education,2,18,4,2021,Stressful
198,18-24,Male,India,Mumbai,Diploma,7,Data Analyst,Python,Azure,719788,Part-time,5000+,On-site,4,5,"R, Tableau, Power BI",Java,4,4,Never,8.1,No,33,Retail,2,22,4,2024,Stressful
199,35-44,Female,India,Mumbai,Bachelors,2,Data Scientist,Excel,AWS,799412,Intern,1-50,Remote,4,1,"AWS, None, Excel","R, C++, SQL",4,3,Often,8.2,Yes,40,Education,5,3,3,2024,Looking to switch
200,25-34,Other,India,Hyderabad,Bachelors,6,Software Engineer,Power BI,Azure,645974,Freelance,51-200,On-site,5,4,"TensorFlow, Tableau, Azure, Power BI","Scala, Python",5,15,Never,6.0,No,40,Education,0,27,4,2022,Learning a lot
201,18-24,Other,India,Kolkata,PhD,1,BI Analyst,Excel,Azure,512270,Full-time,1-50,Remote,2,5,Excel,"Java, C++",2,12,Always,5.8,Yes,36,Consulting,2,10,5,2023,Looking to switch
202,18-24,Other,India,Pune,PhD,1,ML Engineer,SQL,AWS,874090,Freelance,5000+,Remote,1,5,"SQL, R, Python","Java, C++",3,10,Often,4.1,No,47,Finance,5,6,4,2022,Stressful
203,35-44,Female,India,Hyderabad,Masters,6,Software Engineer,SQL,Spark,624560,Full-time,1-50,Remote,4,4,"SQL, Excel","Java, C++, Scala, R",1,14,Always,4.3,No,42,Healthcare,1,6,4,2021,Satisfied
204,25-34,Other,India,Pune,Masters,11,BI Analyst,Power BI,TensorFlow,1085481,Freelance,1-50,Remote,5,4,"SQL, TensorFlow, AWS",SQL,5,8,Often,5.2,Yes,37,Retail,5,24,1,2023,Satisfied
205,18-24,Female,India,Mumbai,PhD,5,Data Analyst,R,None,608630,Intern,201-1000,Hybrid,3,2,TensorFlow,"Scala, C++, R",0,15,Always,1.8,Yes,51,Healthcare,5,20,1,2023,Looking to switch
206,18-24,Female,India,Chennai,Bachelors,2,Data Analyst,R,AWS,476072,Freelance,1-50,On-site,1,5,"TensorFlow, Excel","R, SQL, Scala, Java",1,15,Rarely,8.0,Yes,40,IT,1,20,2,2024,Looking to switch
207,45-54,Other,India,Delhi,Bachelors,3,BI Analyst,SQL,TensorFlow,654381,Freelance,1-50,On-site,3,1,Excel,"Java, Scala, R, SQL",5,7,Often,6.9,No,45,Healthcare,1,17,4,2021,Learning a lot
208,35-44,Other,India,Delhi,Diploma,6,BI Analyst,Python,TensorFlow,820644,Freelance,1001-5000,On-site,3,3,"R, SQL, None","Java, SQL, C++, R",2,5,Sometimes,5.5,Yes,56,IT,0,14,1,2021,Looking to switch
209,35-44,Female,India,Hyderabad,Diploma,3,ML Engineer,Python,TensorFlow,928075,Full-time,5000+,On-site,2,5,SQL,C++,1,12,Always,8.1,Yes,58,IT,5,6,3,2023,Looking to switch
210,45-54,Female,India,Kolkata,PhD,10,Data Analyst,Excel,AWS,706140,Full-time,201-1000,Remote,4,4,"Python, R, TensorFlow","Java, Python",3,6,Always,4.0,No,33,Finance,4,25,4,2022,Satisfied
211,35-44,Male,India,Bengaluru,Diploma,7,Data Analyst,Python,TensorFlow,873760,Freelance,1001-5000,Remote,4,2,Python,"R, SQL, Scala, C++",4,0,Always,7.1,No,45,Retail,3,28,1,2022,Good place
212,45-54,Male,India,Pune,Masters,11,BI Analyst,Excel,None,888306,Intern,1-50,On-site,1,3,"SQL, AWS, R","SQL, C++",0,12,Rarely,3.1,No,58,IT,5,23,3,2024,Good place
213,25-34,Male,India,Bengaluru,Bachelors,11,BI Analyst,Python,None,1097449,Part-time,1001-5000,Hybrid,1,5,"AWS, Azure, None",Python,2,1,Sometimes,7.9,Yes,42,IT,1,26,5,2024,Satisfied
214,25-34,Male,India,Bengaluru,Bachelors,11,Data Scientist,Power BI,None,933739,Intern,5000+,Remote,2,2,Excel,R,6,3,Often,6.2,Yes,56,IT,0,16,5,2022,Good place
215,35-44,Other,India,Delhi,PhD,6,Data Scientist,Excel,Tableau,1088992,Part-time,201-1000,Remote,1,5,"Tableau, SQL",R,1,13,Rarely,7.0,Yes,44,Finance,4,2,2,2021,Satisfied
216,25-34,Male,India,Mumbai,Diploma,12,BI Analyst,Python,Tableau,831096,Full-time,5000+,Hybrid,4,4,"Power BI, Excel","C++, Java, Scala",1,5,Always,6.9,Yes,52,Retail,4,3,3,2023,Looking to switch
217,25-34,Male,India,Bengaluru,Diploma,8,Data Analyst,R,AWS,959048,Part-time,1001-5000,On-site,2,3,Power BI,SQL,5,15,Often,1.8,Yes,31,Consulting,2,10,2,2024,Learning a lot
218,45-54,Male,India,Bengaluru,Diploma,9,ML Engineer,R,Spark,1123213,Full-time,1001-5000,On-site,1,1,"AWS, TensorFlow","Java, SQL, R",1,3,Sometimes,2.4,Yes,53,Retail,1,13,2,2021,Looking to switch
219,18-24,Female,India,Hyderabad,Bachelors,7,Software Engineer,R,Azure,721683,Intern,201-1000,Remote,4,2,"R, Power BI, Tableau","Python, C++",0,8,Rarely,1.2,No,44,Retail,1,25,3,2022,Learning a lot
220,25-34,Other,India,Pune,Bachelors,2,Software Engineer,Python,Azure,608388,Intern,51-200,On-site,4,4,"Python, Spark, Power BI","R, Java",4,7,Always,9.5,Yes,43,IT,0,16,5,2021,Looking to switch
221,45-54,Other,India,Kolkata,Diploma,6,Software Engineer,Power BI,Azure,714572,Full-time,5000+,Remote,4,2,"Tableau, R","Scala, Python",0,15,Sometimes,1.7,No,57,Education,5,19,1,2024,Looking to switch
222,45-54,Male,India,Kolkata,Masters,11,Data Scientist,Power BI,None,1376610,Full-time,1-50,Hybrid,3,5,R,"R, C++, SQL, Scala",0,10,Never,5.2,No,58,IT,0,13,3,2024,Satisfied
223,35-44,Male,India,Delhi,Diploma,5,Data Analyst,R,None,567080,Part-time,201-1000,Remote,5,1,"TensorFlow, Power BI, None, Tableau","R, C++, Java",2,1,Never,3.8,No,45,Education,4,27,1,2024,Satisfied
224,45-54,Other,India,Chennai,Diploma,4,Software Engineer,SQL,Azure,602884,Full-time,1001-5000,Remote,3,1,Excel,"Python, SQL, Java",1,6,Always,9.5,Yes,39,Retail,5,18,2,2024,Learning a lot
225,18-24,Female,India,Hyderabad,Diploma,7,BI Analyst,Python,Spark,828371,Freelance,1001-5000,On-site,3,3,"TensorFlow, Azure, None, AWS","R, C++, SQL, Java",1,8,Rarely,4.9,No,54,IT,1,12,3,2024,Stressful
226,35-44,Male,India,Hyderabad,Bachelors,2,Software Engineer,SQL,Spark,555324,Full-time,201-1000,On-site,2,4,"Tableau, Excel, Power BI",Scala,2,11,Rarely,3.8,Yes,47,Healthcare,0,30,1,2024,Looking to switch
227,35-44,Male,India,Bengaluru,Masters,7,Data Scientist,Excel,Azure,972958,Part-time,5000+,On-site,4,3,AWS,SQL,5,3,Sometimes,0.3,Yes,44,Healthcare,0,11,1,2022,Satisfied
228,35-44,Male,India,Bengaluru,Diploma,3,Software Engineer,R,Azure,693116,Full-time,5000+,Hybrid,2,4,"TensorFlow, None, Azure",Scala,2,12,Rarely,7.2,No,41,Retail,2,1,3,2023,Learning a lot
229,18-24,Male,India,Delhi,PhD,7,ML Engineer,Power BI,Azure,1122405,Part-time,1001-5000,On-site,4,2,Excel,"R, Java",6,10,Never,9.3,No,32,IT,3,21,3,2024,Stressful
230,25-34,Male,India,Hyderabad,PhD,7,Software Engineer,Excel,TensorFlow,865057,Full-time,201-1000,On-site,3,4,"Power BI, Python, TensorFlow, Excel","R, Java, Python",5,9,Often,1.9,Yes,30,IT,2,16,1,2023,Satisfied
231,45-54,Female,India,Delhi,PhD,9,BI Analyst,Python,AWS,932292,Full-time,201-1000,Remote,5,1,"Tableau, AWS","R, SQL",0,8,Sometimes,4.3,No,31,Healthcare,2,17,1,2022,Stressful
232,25-34,Other,India,Chennai,Masters,9,Data Analyst,Excel,AWS,984289,Freelance,1-50,On-site,5,3,"Python, Excel","R, Java, C++",2,5,Never,2.3,Yes,56,Finance,4,20,5,2021,Looking to switch
233,18-24,Male,India,Bengaluru,PhD,1,BI Analyst,Excel,AWS,515288,Freelance,51-200,Hybrid,5,5,"Excel, R, Python",SQL,1,4,Rarely,3.1,Yes,34,IT,3,23,1,2021,Good place
234,45-54,Male,India,Hyderabad,Diploma,12,BI Analyst,Python,None,1093812,Full-time,1001-5000,Remote,3,1,R,Python,6,3,Always,2.1,Yes,35,Consulting,2,1,1,2022,Learning a lot
235,35-44,Male,India,Kolkata,Bachelors,5,Software Engineer,R,TensorFlow,622390,Full-time,5000+,Remote,5,2,"R, Excel",Scala,0,6,Always,8.5,No,41,Consulting,4,6,4,2021,Stressful
236,45-54,Male,India,Pune,Bachelors,6,ML Engineer,Power BI,Tableau,1269394,Freelance,1-50,Hybrid,1,5,"AWS, Tableau","C++, Python, Scala",2,15,Never,3.9,No,49,Consulting,2,22,4,2022,Satisfied
237,45-54,Male,India,Kolkata,Diploma,4,BI Analyst,Power BI,None,626320,Part-time,1-50,On-site,4,1,"AWS, Azure, SQL, TensorFlow","Java, Scala",5,3,Rarely,0.7,Yes,40,Finance,4,28,4,2021,Stressful
238,45-54,Female,India,Kolkata,Masters,11,BI Analyst,Power BI,AWS,1013013,Intern,1001-5000,On-site,3,2,"SQL, None, R, AWS","SQL, Scala, Python, Java",5,1,Never,5.0,Yes,35,Retail,4,22,3,2022,Learning a lot
239,18-24,Male,India,Delhi,PhD,9,Software Engineer,Power BI,Spark,853142,Intern,1001-5000,On-site,3,5,"Azure, None, Python",Java,0,12,Often,3.2,No,44,Retail,0,2,2,2023,Stressful
240,25-34,Female,India,Delhi,PhD,6,BI Analyst,Power BI,Tableau,793680,Intern,5000+,On-site,5,5,"AWS, Azure, Excel, Python","R, Java, C++, Scala",5,11,Sometimes,3.3,Yes,48,IT,1,27,3,2023,Satisfied
241,35-44,Female,India,Bengaluru,PhD,12,Data Analyst,Excel,AWS,963952,Freelance,1-50,On-site,2,2,"None, R",Scala,0,9,Never,3.4,Yes,47,Healthcare,0,15,4,2024,Learning a lot
